name,province,appleMapLink
PTTRM กรุงเทพ-สุขาภิบาล1 (ตะวันตก),กรุงเทพมหานคร,"https://maps.apple.com/?q=PTTRM%20%E0%B8%81%E0%B8%A3%E0%B8%B8%E0%B8%87%E0%B9%80%E0%B8%97%E0%B8%9E-%E0%B8%AA%E0%B8%B8%E0%B8%82%E0%B8%B2%E0%B8%A0%E0%B8%B4%E0%B8%9A%E0%B8%B2%E0%B8%A51%20%28%E0%B8%95%E0%B8%B0%E0%B8%A7%E0%B8%B1%E0%B8%99%E0%B8%95%E0%B8%81%29&ll=1.01000000,1.00000000"
อาคาร สาทรซิตี้ ทาวเวอร์,กรุงเทพมหานคร,"https://maps.apple.com/?q=%E0%B8%AD%E0%B8%B2%E0%B8%84%E0%B8%B2%E0%B8%A3%20%E0%B8%AA%E0%B8%B2%E0%B8%97%E0%B8%A3%E0%B8%8B%E0%B8%B4%E0%B8%95%E0%B8%B5%E0%B9%89%20%E0%B8%97%E0%B8%B2%E0%B8%A7%E0%B9%80%E0%B8%A7%E0%B8%AD%E0%B8%A3%E0%B9%8C&ll=13.72189800,100.53173500"
ตลาดยิ่งเจริญ,กรุงเทพมหานคร,"https://maps.apple.com/?q=%E0%B8%95%E0%B8%A5%E0%B8%B2%E0%B8%94%E0%B8%A2%E0%B8%B4%E0%B9%88%E0%B8%87%E0%B9%80%E0%B8%88%E0%B8%A3%E0%B8%B4%E0%B8%8D&ll=13.89682100,100.60856900"
กรุงเทพ KU Avenue (ม.เกษตร),กรุงเทพมหานคร,"https://maps.apple.com/?q=%E0%B8%81%E0%B8%A3%E0%B8%B8%E0%B8%87%E0%B9%80%E0%B8%97%E0%B8%9E%20KU%20Avenue%20%28%E0%B8%A1.%E0%B9%80%E0%B8%81%E0%B8%A9%E0%B8%95%E0%B8%A3%29&ll=13.84646300,100.56457000"
มหาวิทยาลัยกรุงเทพธนบุรี,กรุงเทพมหานคร,"https://maps.apple.com/?q=%E0%B8%A1%E0%B8%AB%E0%B8%B2%E0%B8%A7%E0%B8%B4%E0%B8%97%E0%B8%A2%E0%B8%B2%E0%B8%A5%E0%B8%B1%E0%B8%A2%E0%B8%81%E0%B8%A3%E0%B8%B8%E0%B8%87%E0%B9%80%E0%B8%97%E0%B8%9E%E0%B8%98%E0%B8%99%E0%B8%9A%E0%B8%B8%E0%B8%A3%E0%B8%B5&ll=13.76954400,100.34696500"
โรงพยาบาลพระมงกุฎเกล้า,กรุงเทพมหานคร,"https://maps.apple.com/?q=%E0%B9%82%E0%B8%A3%E0%B8%87%E0%B8%9E%E0%B8%A2%E0%B8%B2%E0%B8%9A%E0%B8%B2%E0%B8%A5%E0%B8%9E%E0%B8%A3%E0%B8%B0%E0%B8%A1%E0%B8%87%E0%B8%81%E0%B8%B8%E0%B8%8E%E0%B9%80%E0%B8%81%E0%B8%A5%E0%B9%89%E0%B8%B2&ll=13.76762658,100.53496600"
ท่าอากาศยานดอนเมือง อาคาร2 ชั้น3,กรุงเทพมหานคร,"https://maps.apple.com/?q=%E0%B8%97%E0%B9%88%E0%B8%B2%E0%B8%AD%E0%B8%B2%E0%B8%81%E0%B8%B2%E0%B8%A8%E0%B8%A2%E0%B8%B2%E0%B8%99%E0%B8%94%E0%B8%AD%E0%B8%99%E0%B9%80%E0%B8%A1%E0%B8%B7%E0%B8%AD%E0%B8%87%20%E0%B8%AD%E0%B8%B2%E0%B8%84%E0%B8%B2%E0%B8%A32%20%E0%B8%8A%E0%B8%B1%E0%B9%89%E0%B8%993&ll=13.92073800,100.60312629"
อาคารรัฐประศาสนภักดี ศูนย์ราชการฯ ถนนแจ้งวัฒนะ,กรุงเทพมหานคร,"https://maps.apple.com/?q=%E0%B8%AD%E0%B8%B2%E0%B8%84%E0%B8%B2%E0%B8%A3%E0%B8%A3%E0%B8%B1%E0%B8%90%E0%B8%9B%E0%B8%A3%E0%B8%B0%E0%B8%A8%E0%B8%B2%E0%B8%AA%E0%B8%99%E0%B8%A0%E0%B8%B1%E0%B8%81%E0%B8%94%E0%B8%B5%20%E0%B8%A8%E0%B8%B9%E0%B8%99%E0%B8%A2%E0%B9%8C%E0%B8%A3%E0%B8%B2%E0%B8%8A%E0%B8%81%E0%B8%B2%E0%B8%A3%E0%B8%AF%20%E0%B8%96%E0%B8%99%E0%B8%99%E0%B9%81%E0%B8%88%E0%B9%89%E0%B8%87%E0%B8%A7%E0%B8%B1%E0%B8%92%E0%B8%99%E0%B8%B0&ll=13.88053400,100.56460600"
สน. สาขากรุงเทพ - สุขาภิบาล 1 (ตะวันตก),กรุงเทพมหานคร,"https://maps.apple.com/?q=%E0%B8%AA%E0%B8%99.%20%E0%B8%AA%E0%B8%B2%E0%B8%82%E0%B8%B2%E0%B8%81%E0%B8%A3%E0%B8%B8%E0%B8%87%E0%B9%80%E0%B8%97%E0%B8%9E%20-%20%E0%B8%AA%E0%B8%B8%E0%B8%82%E0%B8%B2%E0%B8%A0%E0%B8%B4%E0%B8%9A%E0%B8%B2%E0%B8%A5%201%20%28%E0%B8%95%E0%B8%B0%E0%B8%A7%E0%B8%B1%E0%B8%99%E0%B8%95%E0%B8%81%29&ll=13.83556000,100.66093000"
สน. สาขากรุงเทพ - สุขาภิบาล 3 (ขาออก),กรุงเทพมหานคร,"https://maps.apple.com/?q=%E0%B8%AA%E0%B8%99.%20%E0%B8%AA%E0%B8%B2%E0%B8%82%E0%B8%B2%E0%B8%81%E0%B8%A3%E0%B8%B8%E0%B8%87%E0%B9%80%E0%B8%97%E0%B8%9E%20-%20%E0%B8%AA%E0%B8%B8%E0%B8%82%E0%B8%B2%E0%B8%A0%E0%B8%B4%E0%B8%9A%E0%B8%B2%E0%B8%A5%203%20%28%E0%B8%82%E0%B8%B2%E0%B8%AD%E0%B8%AD%E0%B8%81%29&ll=13.80302930,100.72093800"
